drug_name,drug_generic_name,mode_administration,description,Date of Approval,Company,Treatment for,drug_type,disease_type,,,
Rystiggo,rozanolixizumab-noli,Injection,Rystiggo (rozanolixizumab-noli) is a neonatal Fc receptor blocker indicated for the treatment of generalized myasthenia gravis in adult patients who are anti-acetylcholine receptor (AChR) or antimuscle-specific tyrosine kinase (MuSK) antibody positive.,2023-06-26,Ucb,Myasthenia Gravis,Immunological,Neurological Disorders,,,
Litfulo,ritlecitinib,Capsules,Litfulo (ritlecitinib) is a covalent kinase inhibitor indicated for the treatment of severe alopecia areata in adults and adolescents 12 years and older.,2023-06-23,Pfizer,Alopecia,Dermatological,Dermatological Conditions,,,
Elevidys,delandistrogene moxeparvovec-rokl,Suspension for Intravenous Infusion,Elevidys (delandistrogene moxeparvovec-rokl) is an adeno-associated virus vector-based gene therapy indicated for the treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene.,2023-06-22,Sarepta Therapeutics,Duchenne Muscular Dystrophy,Antineoplastics,Musculoskeletal Disorders,,,
Suflave,"polyethylene glycol 3350, sodium sulfate, potassium chloride, magnesium sulfate, and sodium chloride",Powder for Oral Solution,"Suflave (polyethylene glycol 3350, sodium sulfate, potassium chloride, magnesium sulfate, and sodium chloride) is an osmotic laxative indicated for cleansing of the colon in preparation for colonoscopy in adults.",2023-06-15,Braintree,Bowel Preparation,Gastrointestinal,Gastrointestinal Diseases,,,
Liqrev,sildenafil citrate,Oral Suspension,Liqrev (sildenafil citrate) is a ready-made oral liquid formulation of the approved phosphodiesterase-5 (PDE-5) inhibitor sildenafil used for the treatment of pulmonary arterial hypertension.,2023-04-28,Cmp,Pulmonary Arterial Hypertension,Cardiovascular,Cardiovascular Diseases,,,
Lodoco,colchicine,Tablets,"Lodoco (colchicine) is an alkaloid indicated to reduce the risk of myocardial infarction (MI), stroke, coronary revascularization, and cardiovascular death in adult patients with established atherosclerotic disease or with multiple risk factors for cardiovascular disease.",2023-06-16,Agepha,Cardiovascular Risk Reduction,Cardiovascular,Cardiovascular Diseases,,,
Vyvgart Hytrulo,efgartigimod alfa and hyaluronidase-qvfc,Injection,Vyvgart Hytrulo (efgartigimod alfa and hyaluronidase-qvfc) is a neonatal Fc receptor blocker and endoglycosidase combination indicated for the treatment of generalized myasthenia gravis (gMG) in adult patients who are anti-acetylcholine receptor (AChR) antibody positive.,2023-06-20,Halozyme Therapeutics,Myasthenia Gravis,Immunological,Neurological Disorders,,,
Columvi,glofitamab-gxbm,Injection,"Columvi (glofitamab-gxbm) is a bispecific CD20-directed CD3 T-cell engager indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma, not otherwise specified (DLBCL, NOS) or large B-cell lymphoma (LBCL) arising from follicular lymphoma, after two or more lines of systemic therapy.",2023-06-15,Genentech,Diffuse Large B-Cell Lymphoma,Antineoplastics,Hematological Disorders,,,
Vevye,cyclosporine,Ophthalmic Solution,Vevye (cyclosporine) is a calcineurin inhibitor immunosuppressant indicated for the treatment of the signs and symptoms of dry eye disease.,2023-05-30,Novaliq,Dry Eye Disease,Ophthalmological,Ophthalmological Disorders,,,
Abrysvo,respiratory syncytial virus vaccine,Injection,Abrysvo (respiratory syncytial virus vaccine) is a vaccine used for active immunization for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus (RSV).,2023-05-31,Pfizer,RSV,Vaccines,Respiratory Diseases,,,
Posluma,flotufolastat F 18,Injection,Posluma (flotufolastat F 18) a radioactive diagnostic agent used for positron emission tomography (PET) of prostate-specific membrane antigen (PSMA) positive lesions in men with prostate cancer.,2023-05-25,Blue Earth Diagnostics,"Positron Emission Tomography Imaging, Diagnosis and Investigation",Antineoplastics,Diagnostic Imaging,,,
Inpefa,sotagliflozin,Tablets,Inpefa (sotagliflozin) is a sodium-glucose cotransporter 2 (SGLT2) inhibitor used in the treatment of heart failure.,2023-05-26,Lexicon Pharmaceuticals,Heart Failure,Cardiovascular,Cardiovascular Diseases,,,
Paxlovid,nirmatrelvir and ritonavir,Tablets (co-packaged),"Paxlovid (nirmatrelvir and ritonavir) is a co-packaged product containing nirmatrelvir, a SARS-CoV-2 main protease inhibitor, and ritonavir, a HIV-1 protease inhibitor and CYP3A inhibitor, indicated for the treatment of mild-to-moderate COVID-19 in adults who are at high risk for progression to severe COVID-19, including hospitalization or death.",2023-05-25,Pfizer,COVID-19,Antivirals,Infectious Diseases,,,
Yuflyma,adalimumab-aaty,Injection,"Yuflyma (adalimumab-aaty) is a tumor necrosis factor (TNF) blocker biosimilar to Humira, approved for the treatment of rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn’s disease, ulcerative colitis, plaque psoriasis, hidradenitis suppurativa, and uveitis.",2023-05-23,Celltrion,"rheumatoid arthritis, juvenile idiopathic arthritis, psoriatic arthritis, ankylosing spondylitis, Crohn's disease, ulcerative colitis, plaque psoriasis, and hidradenitis suppurativa.",Immunological,Musculoskeletal Disorders,,,
Xacduro,sulbactam and durlobactam (co-packaged),Kit for Injection,"Xacduro (sulbactam and durlobactam) is a co-packaged product containing the beta-lactam antibacterial sulbactam, and the beta lactamase inhibitor durlobactam for use in the treatment of serious infections caused by Acinetobacter.",2023-05-23,Innoviva,Acinetobacter Pneumonia,Antibiotics,Respiratory Diseases,,,
Brixadi,buprenorphine,Extended-Release Injection,Brixadi (buprenorphine) is a partial opioid agonist for use in the treatment of opioid use disorder.,2023-05-23,Braeburn,Opioid Use Disorder,Analgesics,Mental Health Disorders,,,
Opvee,nalmefene hydrochloride,Nasal Spray,Opvee (nalmefene hydrochloride) is a nasal spray formulation of the approved opioid antagonist nalmefene hydrochloride for use in the treatment of opioid overdose.,2023-05-22,Opiant Pharmaceuticals,Opioid Overdose,Respiratory,Neurological Disorders,,,
Epkinly,epcoritamab-bysp,Injection,Epkinly (epcoritamab-bysp) is a bispecific CD20-directed CD3 T-cell engager for use in the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL).,2023-05-19,Abbvie,Diffuse Large B-Cell Lymphoma,Antineoplastics,Hematological Disorders,,,
Vyjuvek,beremagene geperpavec-svdt,Topical Gel,Vyjuvek (beremagene-geperpavec-svdt) is a herpes-simplex virus type 1 (HSV-1) vector-based gene therapy for the treatment of wounds in patients dystrophic epidermolysis bullosa.,2023-05-19,Krystal Biotech,Epidermolysis Bullosa,Dermatological,Dermatological Conditions,,,
Miebo,perfluorohexyloctane,Ophthalmic Solution,Miebo (perfluorohexyloctane) is a semifluorinated alkane indicated for treatment of the signs and symptoms of dry eye disease.,2023-05-18,Bausch + Lomb  And Novaliq,Dry Eye Disease,Ophthalmological,Ophthalmological Disorders,,,
Skinvive by Juvederm,hyaluronic acid and lidocaine,Injectable Gel,Skinvive by Juvéderm (hyaluronic acid and lidocaine) is an intradermal microdroplet injection containing a dermal filler and a local anesthetic used to improve skin smoothness of the cheeks in adults over the age of 21.,2023-05-15,Abbvie,Facial Wrinkles,Dermatological,Dermatological Conditions,,,
Veozah,fezolinetant,Tablets,Veozah (fezolinetant) is a selective neurokinin 3 (NK3) receptor antagonist indicated for the treatment of moderate to severe vasomotor symptoms (VMS) associated with menopause.,2023-05-12,Astellas,"Menopausal Disorders, Hot Flashes",Hormonal,Reproductive System Disorders,,,
Elfabrio,pegunigalsidase alfa-iwxj,Injection,Elfabrio (pegunigalsidase alfa-iwxj) is a hydrolytic lysosomal neutral glycosphingolipid-specific enzyme indicated for the treatment of adults with confirmed Fabry disease.,2023-05-09,Protalix Biotherapeutics,Fabry Disease,Enzyme Replacement Therapy,Genetic Disorders,,,
Mydcombi,phenylephrine hydrochloride and tropicamide,Ophthalmic Spray,Mydcombi (phenylephrine hydrochloride and tropicamide) is an alpha-1 adrenergic receptor agonist and anticholinergic fixed-combination ophthalmic spray indicated to induce mydriasis for diagnostic procedures and in conditions where short term pupil dilation is desired.,2023-05-05,Eyenovia,Pupillary Dilation,Ophthalmological,Ophthalmological Disorders,,,
Arexvy,"respiratory syncytial virus vaccine, adjuvanted",Suspension for Intramuscular Injection,"Arexvy (respiratory syncytial virus vaccine, adjuvanted) is a vaccine indicated for active immunization for the prevention of lower respiratory tract disease (LRTD) caused by respiratory syncytial virus in individuals 60 years of age and older.",2023-05-03,Glaxosmithkline,Prevention of RSV Infection,Vaccines,Respiratory Diseases,,,
Lumryz,sodium oxybate,Granules for Extended-Release Oral Suspension,Lumryz (sodium oxybate) is a once-nightly formulation of the approved central nervous system depressant sodium oxybate indicated for the treatment of excessive daytime sleepiness and cataplexy in adults with narcolepsy.,2023-05-01,Avadel Pharmaceuticals,Narcolepsy,Neurological,Neurological Disorders,,,
Abilify Asimtufii,aripiprazole,Extended-Release Injectable Suspension,Abilify Asimtufii (aripiprazole) is a long-acting injectable atypical antipsychotic for the treatment of schizophrenia and bipolar I disorder.,2023-04-27,Otsuka Pharmaceutical Co,"Schizophrenia, Bipolar Disorder",Antipsychotics,Mental Health Disorders,,,
Uzedy,risperidone,Extended-Release Injectable Suspension,Uzedy (risperidone) is a long-acting injectable atypical antipsychotic indicated for the treatment of schizophrenia in adults.,2023-04-28,Teva Pharmaceuticals And Medincell,Schizophrenia,Antipsychotics,Mental Health Disorders,,,
Vowst,"fecal microbiota spores, live-brpk",Capsules,"Vowst (fecal microbiota spores, live-brpk) is an oral microbiome therapeutic indicated to prevent the recurrence of Clostridioides difficile infection (CDI) in individuals 18 years of age and older following antibacterial treatment for recurrent CDI.",2023-04-26,Seres Therapeutics,Prevention of Recurrent Clostridioides difficile Infection,Gastrointestinal,Gastrointestinal Diseases,,,
Qalsody,tofersen,Injection,Qalsody (tofersen) is an antisense oligonucleotide indicated for the treatment of amyotrophic lateral sclerosis (ALS) in adults who have a mutation in the superoxide dismutase 1 (SOD1) gene.,2023-04-25,Biogen,Amyotrophic Lateral Sclerosis,Neurological,Neurological Disorders,,,
Omisirge,omidubicel-onlv,Suspension for Infusion,Omisirge (omidubicel-onlv) is a nicotinamide (NAM) modified allogeneic hematopoietic progenitor cell therapy for use in patients with hematologic malignancies to reduce risk of infection following stem cell transplantation.,2023-04-17,Gamida Cell,Stem Cell Therapy,Immunological,Genetic Disorders,,,
RizaFilm,rizatriptan,Oral Film,RizaFilm (rizatriptan) is a serotonin (5-HT) 1B/1D receptor agonist (triptan) oral film formulation for the acute treatment of migraine.,2023-04-14,Intelgenx,Migraine,Neurological,Neurological Disorders,,,
Joenja,leniolisib,Tablets,Joenja (leniolisib) is a kinase inhibitor indicated for the treatment of activated phosphoinositide 3-kinase delta (PI3Kδ) syndrome (APDS) in adult and pediatric patients 12 years of age and older.,2023-03-24,Pharming Group Nv,Activated PI3K-Delta Syndrome,Immunological,Genetic Disorders,,,
Rezzayo,rezafungin,Powder for Injection,Rezzayo (rezafungin) is an echinocandin antifungal used for the treatment of candidemia and invasive candidiasis.,2023-03-22,Cidara Therapeutics,"Candidemia, Systemic Candidiasis",Antifungals,Infectious Diseases,,,
Zynyz,retifanlimab-dlwr,Injection,Zynyz (retifanlimab-dlwr) is a programmed death receptor-1 (PD-1)-blocking antibody for the treatment of Merkel cell carcinoma.,2023-03-22,Incyte,Merkel Cell Carcinoma,Antineoplastics,Cancers,,,
Daybue,trofinetide,Oral Solution,Daybue (trofinetide) is a synthetic analog of the amino‐terminal tripeptide of IGF-1 for the treatment of Rett syndrome.,2023-03-10,Acadia Pharmaceuticals,Rett Syndrome,Neurological,Neurological Disorders,,,
Zavzpret,zavegepant,Nasal Spray,Zavzpret (zavegepant) is a calcitonin gene-related peptide (CGRP) receptor antagonist nasal spray for the acute treatment of migraine.,2023-03-09,Pfizer,Migraine,Neurological,Neurological Disorders,,,
Skyclarys,omaveloxolone,Capsules,Skyclarys (omaveloxolone) is an activator of Nrf2 (nuclear factor erythroid 2–related factor 2) for the treatment of Friedreich’s ataxia.,2023-02-28,Reata Pharmaceuticals,Friedreich’s Ataxia,Neurological,Neurological Disorders,,,
Altuviiio,"antihemophilic factor recombinant, Fc-VWF-XTEN fusion protein-ehtl",Lyophilized Powder for Injection,"Altuviiio [antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein-ehtl] is a recombinant DNA-derived, factor VIII concentrate indicated for use in people with hemophilia A.",2023-02-22,Sanofi,Hemophilia A,Hematological,Hematological Disorders,,,
Syfovre,pegcetacoplan,Injection,Syfovre (pegcetacoplan) is a complement inhibitor indicated for the treatment of geographic atrophy (GA) secondary to age-related macular degeneration (AMD).,2023-02-17,Apellis Pharmaceuticals,Macular Degeneration,Ophthalmological,Ophthalmological Disorders,,,
Filspari,sparsentan,Tablets,Filspari (sparsentan) is an endothelin and angiotensin II receptor antagonist indicated to reduce proteinuria in adults with primary immunoglobulin A nephropathy.,2023-02-17,Travere Therapeutics,Primary Immunoglobulin A Nephropathy,Cardiovascular,Renal Disorders,,,
Lamzede,velmanase alfa-tycv,Lyophilized Powder for Injection,Lamzede (velmanase-alfa-tycv) is recombinant human lysosomal alpha-mannosidase indicated for the treatment of non-central nervous system manifestations of alpha-mannosidosis.,2023-02-16,Chiesi  Rare Diseases,Alpha-Mannosidosis,Immunological,Genetic Disorders,,,
Jesduvroq,daprodustat,Tablets,Jesduvroq (daprodustat) is an oral hypoxia-inducible factor prolyl hydroxylase inhibitor (HIF-PHI) for the treatment of patients with anemia of chronic kidney disease (CKD).,2023-02-01,Glaxosmithkline,Anemia Due to Chronic Kidney Disease,Cardiovascular,Hematological Disorders,,,
Orserdu,elacestrant,Tablets,"Orserdu (elacestrant) is an estrogen receptor antagonist indicated for the treatment of postmenopausal women or adult men, with ER-positive, HER2-negative, ESR1-mutated advanced or metastatic breast cancer with disease progression following at least one line of endocrine therapy.",2023-01-27,Menarini Group,Breast Cancer,Hormonal,Cancers,,,
Jaypirca,pirtobrutinib,Tablets,"Jaypirca (pirtobrutinib) is a non-covalent (reversible) Bruton's tyrosine kinase (BTK) inhibitor for use in the treatment of mantle cell lymphoma (MCL), and chronic lymphocytic leukemia or small lymphocytic lymphoma (CLL/SLL).",2023-01-27,Eli Lilly,"Mantle Cell Lymphoma, Chronic Lymphocytic Leukemia",Antineoplastics,Hematological Disorders,,,
Brenzavvy,bexagliflozin,Tablets,Brenzavvy (bexagliflozin) is a sodium-glucose co-transporter 2 (SGLT2) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,2023-01-20,Theracosbio,"Diabetes, Type 2",Antidiabetics,Endocrine Disorders,,,
